CIDR,SRC_IP_COUNT,SESSION_COUNT,RULE_COUNT,REVIEW_RULES,ALLOW_RULES,TOP_APPS,TOP_DEST_PORTS,TOP_DEST_PROVIDERS,RECOMMENDATION
10.38.32.0/24,1,4,4,0,0,ms-teams-audio-video|stun,50044|50008|50053|50036,"Amazon.com, Inc",Register in all_IP_networks
10.118.222.0/24,1,3,1,0,0,quic-base|unknown-udp,443,Amazon Web Services,Register in all_IP_networks
10.35.51.0/24,1,3,1,0,0,quic-base,443,Google,Register in all_IP_networks
10.35.55.0/24,1,3,2,0,0,quic-base,443,Akamai|Google,Register in all_IP_networks
10.81.138.0/24,1,3,3,0,0,quic-base|google-base,443|5228,Google|Akamai,Register in all_IP_networks
10.38.130.0/24,2,3,3,0,0,quic-base,443,Akamai|Google,Register in all_IP_networks
10.38.176.0/24,2,2,2,0,0,google-base|quic-base,5228|443,Google|Fastly,Register in all_IP_networks
10.73.197.0/24,1,2,2,0,0,ms-teams-audio-video,50016|50022,"Amazon.com, Inc",Register in all_IP_networks
10.118.218.0/24,1,2,2,0,0,quic-base,443,Akamai|Google,Register in all_IP_networks
10.35.160.0/24,1,2,2,0,0,quic-base,443,Akamai|Google,Register in all_IP_networks
10.182.10.0/24,1,1,1,0,0,sourcefire-fireamp,32137,"Amazon.com, Inc",Register in all_IP_networks
